screen_name,total,text,video,photo,audio,poll,other,text_mean
kurskadm,4453,4264,555,3689,38,4,29,5
pravitelstvo_lenobl,1372,1368,669,636,0,3,33,41
lipetskayaoblast,1962,1949,368,1553,9,32,44,15
49gov,1671,1372,293,1080,0,32,2,26
mosregru,2948,2876,24,361,0,0,2497,3
murman_sever,2917,2211,268,1743,3,1,621,2
governmentnnov,1768,1767,158,1561,0,11,28,16
novreg,1455,1392,579,755,0,28,10,19
nso,2424,2333,551,1747,0,53,5,3
region55,2078,2034,283,1702,0,13,18,19
government56,2616,2398,239,2160,0,104,6,3
orelregion_government,2011,1993,140,1729,4,55,58,2
penzaoblgov,2313,2283,243,1918,1,22,68,1
pskov.oblast,2733,2713,435,2279,1,2,9,6
pravitelstvo61,2760,2741,325,2394,0,18,34,14
ryazangov,595,586,3,211,0,0,464,110
samaroblast,4912,4690,1829,2804,10,2,70,0
saratovoblgov,2225,2211,311,1752,0,13,61,8
sakhalingovernment,3127,3050,332,2708,0,15,200,5
svo196,2419,2381,557,1827,0,8,18,7
smolensk,2032,2027,214,1583,1,53,122,6
tambovgov,1583,1549,200,1278,6,45,40,15
tverreg,1482,1481,72,1391,1,16,10,34
tomskgov,827,825,143,622,2,5,23,14
tularegion71,1543,1531,386,1028,0,0,8,10
mytyumen72,2866,2757,689,2138,1,18,36,7
ul,1519,1492,456,982,0,4,12,3
gov74,2602,2534,355,2157,8,5,47,0
yaroslavskaiaoblast,2781,2640,349,2337,0,30,27,13
mos,1776,1769,153,1395,1,22,167,8
spb,3105,3100,989,2103,0,6,15,1
eaogov,1157,1153,306,854,1,5,3,31
okrugodnakomanda,1368,1343,98,1234,0,2,28,48
shtabugra,2288,2286,1773,428,0,28,142,13
chukotkagov,1069,1058,106,951,0,0,0,38
yanao_ru,1385,1377,249,1114,8,13,27,21
